incident_id,incident_date,incident_type,severity,status,affected_system,department,region,assigned_analyst,resolution_date,estimated_cost_usd,records_affected,is_regulatory_breach,notes
INC-0196,2024-08-04,Brute Force,Critical,Closed,Endpoint,Legal,North,Karan Singh,2024-08-07,148609.74,45982,Under Review,User error confirmed
INC-0197,2024-02-25,Phishing,High,Closed,Web App,SecOps,West,Rohan Das,2024-03-18,25367.6,691,Yes,Investigation ongoing
INC-0198,2024-04-23,Malware,Medium,Closed,Email Server,IT,North,Arjun Rao,2024-05-10,4513.21,6851,No,Containment successful
INC-0199,2024-02-13,Insider Threat,Medium,Closed,VPN Gateway,Legal,West,Karan Singh,,3548.45,31205,Yes,
INC-0200,2024-12-22,Ransomware,High,Open,Web App,Marketing,North,Sara Khan,2024-12-25,7180.12,48528,Yes,Patch applied
INC-0201,2024-10-09,DDoS,Critical,Closed,Email Server,HR,West,Divya Nair,,143790.16,1913,Under Review,Third-party vendor involved
INC-0202,2024-08-18,DDoS,Low,Resolved,CRM,Legal,North,Sara Khan,2024-08-31,7076.88,23972,No,Third-party vendor involved
INC-0203,2024-08-22,Insider Threat,Critical,Closed,Endpoint,Legal,North,Karan Singh,,79393.4,23067,No,Patch applied
INC-0204,2024-12-10,Insider Threat,Low,Open,VPN Gateway,IT,North,Sara Khan,2024-12-20,6753.89,24464,Under Review,Patch applied
INC-0205,2024-09-18,Malware,Medium,In Progress,Cloud Storage,Marketing,Central,Sara Khan,2024-10-08,5790.58,36366,Yes,
INC-0206,2024-05-27,Phishing,High,Resolved,ERP,Operations,South,Amit Verma,,126376.79,25162,Under Review,
INC-0207,2024-07-28,Ransomware,Critical,Open,VPN Gateway,IT,North,Neha Joshi,2024-08-11,73560.58,14735,Under Review,Investigation ongoing
INC-0208,2024-03-27,Ransomware,Critical,Open,Database,SecOps,Central,Karan Singh,2024-04-15,82684.06,35523,Yes,
INC-0209,2024-10-06,DDoS,Low,Resolved,ERP,Operations,East,Karan Singh,2024-10-20,7386.29,5700,No,User error confirmed
INC-0210,2024-05-01,Malware,High,In Progress,Email Server,SecOps,South,Amit Verma,2024-05-25,129226.78,3890,Under Review,No data loss confirmed
INC-0211,2024-09-29,Data Exfiltration,Medium,Resolved,Database,SecOps,Central,Rohan Das,2024-10-17,3304.17,8885,No,Escalated to CISO
INC-0212,2024-05-21,Insider Threat,Medium,In Progress,Endpoint,Operations,South,Neha Joshi,2024-05-26,2571.8,41144,No,Containment successful
INC-0213,2024-08-19,Data Exfiltration,Low,Resolved,Cloud Storage,Operations,East,Priya Mehta,,4088.22,48019,Yes,
INC-0214,2024-11-21,Malware,Low,In Progress,Endpoint,SecOps,South,Arjun Rao,2024-12-03,7977.21,17598,No,Investigation ongoing
INC-0215,2024-06-21,Phishing,Critical,Open,CRM,Marketing,West,Priya Mehta,2024-06-26,118351.4,8142,Yes,
INC-0216,2024-08-21,Unauthorized Access,Critical,Resolved,Email Server,SecOps,East,Rohan Das,,30746.57,42899,No,Investigation ongoing
INC-0217,2024-02-12,Data Exfiltration,Medium,In Progress,Endpoint,Marketing,North,Rohan Das,2024-03-12,612.69,71,Yes,
INC-0218,2024-02-09,Brute Force,Medium,Open,ERP,Marketing,East,Rohan Das,,5242.5,27676,Under Review,Patch applied
INC-0219,2024-09-01,Ransomware,Critical,Open,Web App,IT,East,Sara Khan,,13855.0,25082,Yes,Patch applied
INC-0220,2024-02-05,DDoS,Medium,In Progress,Endpoint,Legal,West,Amit Verma,2024-02-06,4456.98,5681,Yes,Patch applied
INC-0221,2024-03-04,Insider Threat,High,In Progress,VPN Gateway,IT,North,Amit Verma,2024-03-17,144505.68,36267,Under Review,Investigation ongoing
INC-0222,2024-12-19,DDoS,High,Closed,Database,Marketing,North,Amit Verma,,31214.13,32432,No,User error confirmed
INC-0223,2024-05-03,Phishing,Low,Resolved,Web App,HR,West,Divya Nair,2024-05-23,5330.04,23947,Under Review,Patch applied
INC-0224,2024-08-29,Ransomware,Low,Open,Database,HR,North,Priya Mehta,2024-09-23,265.23,26081,Under Review,Investigation ongoing
INC-0225,2024-11-17,Malware,Critical,Open,Email Server,IT,North,Neha Joshi,2024-12-12,63824.5,5178,Under Review,Third-party vendor involved
INC-0226,2024-03-20,Malware,Low,In Progress,ERP,HR,North,Divya Nair,2024-04-02,3170.68,7601,No,Escalated to CISO
INC-0227,2024-06-07,Unauthorized Access,Medium,Open,Email Server,Operations,East,Neha Joshi,2024-06-29,1282.49,10942,No,Patch applied
INC-0228,2024-05-17,Malware,Low,Resolved,CRM,IT,Central,Rohan Das,2024-05-21,3416.61,32515,No,No data loss confirmed
INC-0229,2024-01-29,Data Exfiltration,Medium,Open,CRM,HR,Central,Priya Mehta,2024-02-17,3740.11,2886,Yes,Third-party vendor involved
INC-0230,2024-01-24,Phishing,Medium,Closed,VPN Gateway,IT,South,Divya Nair,2024-02-06,1871.71,47204,No,Investigation ongoing
INC-0231,2024-02-09,Phishing,Low,Closed,CRM,Operations,East,Neha Joshi,2024-02-13,1875.51,21449,Yes,
INC-0232,2024-01-05,DDoS,High,Closed,Web App,Legal,West,Amit Verma,2024-01-15,111066.61,48002,Under Review,Third-party vendor involved
INC-0233,2024-03-18,Insider Threat,Critical,Open,Web App,Finance,West,Neha Joshi,,4074.58,6812,Yes,Third-party vendor involved
INC-0234,2024-08-02,Ransomware,Medium,Open,VPN Gateway,SecOps,Central,Divya Nair,2024-08-04,7145.36,45930,No,
INC-0235,2024-02-13,Malware,Medium,Open,ERP,Operations,South,Amit Verma,2024-03-01,6408.44,19115,No,No data loss confirmed
INC-0236,2024-07-20,Data Exfiltration,High,In Progress,CRM,HR,South,Rohan Das,2024-08-13,48049.63,10184,Yes,Patch applied
INC-0237,2024-08-18,DDoS,Low,Closed,Database,Operations,East,Rohan Das,2024-09-01,5405.65,5925,Yes,Investigation ongoing
INC-0238,2024-12-26,Insider Threat,Medium,In Progress,CRM,Marketing,South,Karan Singh,2024-12-28,8375.66,25968,Under Review,Escalated to CISO
INC-0239,2024-12-12,Malware,Medium,Closed,VPN Gateway,Finance,West,Rohan Das,2025-01-08,407.71,9161,Yes,Escalated to CISO
INC-0240,2024-02-01,Malware,Medium,Resolved,CRM,Legal,Central,Neha Joshi,2024-02-09,2061.52,4914,Yes,User error confirmed
INC-0241,2024-04-11,Insider Threat,Medium,Open,ERP,Operations,North,Sara Khan,2024-04-26,1010.59,37610,No,Containment successful
INC-0242,2024-09-11,DDoS,Critical,In Progress,Database,IT,West,Sara Khan,,26334.68,2270,Under Review,Third-party vendor involved
INC-0243,2024-11-27,Data Exfiltration,Critical,Closed,Email Server,Operations,South,Amit Verma,2024-12-11,9616.37,41337,Under Review,Escalated to CISO
INC-0244,2024-07-14,Brute Force,Critical,Resolved,Web App,Operations,East,Sara Khan,2024-07-26,81905.41,1708,No,Third-party vendor involved
INC-0245,2024-01-16,Brute Force,High,Resolved,VPN Gateway,HR,North,Amit Verma,2024-02-10,9259.39,43048,Yes,Investigation ongoing
INC-0246,2024-09-30,DDoS,Low,Closed,Web App,SecOps,South,Sara Khan,2024-10-30,7664.09,15502,Under Review,No data loss confirmed
INC-0247,2024-12-23,Insider Threat,Low,In Progress,VPN Gateway,SecOps,West,Neha Joshi,2025-01-11,7064.18,11505,No,Escalated to CISO
INC-0248,2024-02-16,Brute Force,Medium,Open,Web App,Legal,South,Sara Khan,,297.29,22331,Under Review,Patch applied
INC-0249,2024-06-14,Unauthorized Access,Medium,Open,Web App,Finance,East,Divya Nair,,5907.43,38405,Yes,No data loss confirmed
INC-0250,2024-06-03,Brute Force,Critical,Resolved,Email Server,Marketing,Central,Karan Singh,2024-06-09,118880.46,14630,Under Review,Patch applied
INC-0251,2024-07-12,Phishing,High,Closed,ERP,HR,Central,Karan Singh,2024-08-04,19538.58,40067,Yes,User error confirmed
INC-0252,2024-09-11,Insider Threat,Low,In Progress,CRM,SecOps,East,Arjun Rao,,2456.16,746,No,Third-party vendor involved
INC-0253,2024-05-07,Phishing,High,Open,Endpoint,Operations,West,Sara Khan,2024-05-19,118159.49,27133,No,Containment successful
INC-0254,2024-06-28,DDoS,Critical,In Progress,Cloud Storage,Finance,North,Neha Joshi,2024-07-02,118415.13,1315,No,Investigation ongoing
INC-0255,2024-02-23,Unauthorized Access,Medium,Open,CRM,IT,Central,Arjun Rao,,8890.52,46170,Yes,Containment successful
INC-0256,2024-11-30,Ransomware,Critical,Resolved,VPN Gateway,HR,West,Neha Joshi,,23987.01,43292,No,Investigation ongoing
INC-0257,2024-05-01,Brute Force,Critical,In Progress,ERP,IT,North,Divya Nair,,85979.59,5742,No,
INC-0258,2024-04-12,Data Exfiltration,Medium,Open,Cloud Storage,SecOps,North,Neha Joshi,,1791.24,26048,No,
INC-0259,2024-12-04,Malware,Critical,Resolved,Email Server,Operations,North,Neha Joshi,2024-12-25,28139.74,28818,No,Investigation ongoing
INC-0260,2024-04-25,Ransomware,Low,Open,Web App,SecOps,Central,Divya Nair,2024-05-14,1596.19,49575,Under Review,Third-party vendor involved
INC-0261,2024-10-10,Malware,Critical,Closed,VPN Gateway,Operations,East,Rohan Das,,122851.58,25873,Under Review,Escalated to CISO
INC-0262,2024-09-14,Brute Force,Medium,In Progress,Email Server,HR,South,Sara Khan,2024-10-01,1290.79,2796,No,User error confirmed
INC-0263,2024-12-15,Data Exfiltration,Medium,Resolved,CRM,Finance,West,Divya Nair,2025-01-11,8357.67,36179,No,Investigation ongoing
INC-0264,2024-09-23,Malware,Low,Open,Endpoint,HR,South,Rohan Das,2024-10-21,7886.85,6922,Under Review,User error confirmed
INC-0265,2024-05-26,Data Exfiltration,High,Closed,Cloud Storage,Legal,Central,Arjun Rao,2024-06-24,131745.09,2455,Yes,Investigation ongoing
INC-0266,2024-07-25,Insider Threat,Critical,In Progress,ERP,Marketing,West,Neha Joshi,,6297.99,24408,Yes,No data loss confirmed
INC-0267,2024-06-04,Ransomware,Critical,In Progress,Email Server,IT,West,Karan Singh,2024-07-01,128806.1,17656,Under Review,Containment successful
INC-0268,2024-11-05,Malware,Critical,Closed,Web App,SecOps,North,Sara Khan,2024-11-12,32102.88,4300,No,Containment successful
INC-0269,2024-03-10,DDoS,Low,Open,VPN Gateway,Finance,West,Priya Mehta,2024-03-27,1820.0,23617,Under Review,Third-party vendor involved
INC-0270,2024-05-20,Ransomware,Critical,Open,VPN Gateway,IT,West,Arjun Rao,2024-06-04,95493.77,11638,No,No data loss confirmed
INC-0271,2024-06-25,Ransomware,High,Resolved,ERP,Operations,North,Sara Khan,,112469.69,37503,Yes,Third-party vendor involved
INC-0272,2024-11-27,Phishing,High,Open,Cloud Storage,HR,South,Priya Mehta,2024-12-04,97912.31,14664,No,Investigation ongoing
INC-0273,2024-12-30,Malware,High,Resolved,Cloud Storage,IT,South,Arjun Rao,2025-01-20,63859.12,19801,Under Review,Containment successful
INC-0274,2024-10-26,Data Exfiltration,High,Resolved,CRM,Operations,North,Karan Singh,,84437.84,18119,Under Review,No data loss confirmed
INC-0275,2024-05-21,DDoS,High,Open,Endpoint,Marketing,East,Sara Khan,2024-06-13,28659.83,47270,Yes,
INC-0276,2024-05-31,Phishing,Critical,In Progress,Web App,Marketing,South,Arjun Rao,2024-06-14,58547.1,44031,No,Investigation ongoing
INC-0277,2024-03-28,Brute Force,Medium,In Progress,Database,Marketing,Central,Sara Khan,2024-04-26,3008.46,44545,No,User error confirmed
INC-0278,2024-04-23,Insider Threat,High,Resolved,Database,Legal,East,Arjun Rao,2024-05-17,63360.65,7718,No,Escalated to CISO
INC-0279,2024-11-20,DDoS,Low,Open,Endpoint,Legal,East,Divya Nair,2024-12-10,4774.97,3543,Yes,Patch applied
INC-0280,2024-04-12,Unauthorized Access,Critical,Open,Cloud Storage,IT,South,Karan Singh,2024-05-01,21912.01,41582,Yes,Escalated to CISO
INC-0281,2024-08-19,Unauthorized Access,Medium,Closed,CRM,HR,Central,Divya Nair,2024-09-13,5805.16,41516,No,Containment successful
INC-0282,2024-08-07,DDoS,Low,Resolved,ERP,IT,Central,Amit Verma,2024-08-20,473.48,1174,Under Review,Escalated to CISO
INC-0283,2024-11-16,Ransomware,High,Closed,Database,HR,North,Priya Mehta,2024-11-24,47157.79,19542,No,
INC-0284,2024-09-23,Unauthorized Access,Critical,Resolved,Cloud Storage,IT,South,Sara Khan,2024-10-04,133252.12,26436,Yes,Third-party vendor involved
INC-0285,2024-04-24,Unauthorized Access,Medium,Open,Web App,Marketing,North,Divya Nair,2024-04-29,7367.36,41964,No,Escalated to CISO
INC-0286,2024-10-31,Phishing,Low,Open,CRM,Operations,West,Divya Nair,2024-11-22,6570.32,8099,Under Review,Investigation ongoing
INC-0287,2024-08-30,Ransomware,Low,Resolved,Email Server,Operations,North,Rohan Das,2024-09-06,3081.05,18527,Yes,User error confirmed
INC-0288,2024-09-11,DDoS,Medium,Resolved,Endpoint,IT,South,Priya Mehta,,7801.79,35922,No,Third-party vendor involved
INC-0289,2024-12-18,Ransomware,Medium,Open,Cloud Storage,HR,North,Rohan Das,2024-12-29,127.11,47419,Under Review,User error confirmed
INC-0290,2024-05-11,Phishing,High,Open,Email Server,SecOps,North,Neha Joshi,2024-05-26,39986.69,23607,Under Review,No data loss confirmed
INC-0291,2024-08-06,Unauthorized Access,Low,In Progress,Web App,IT,West,Neha Joshi,2024-08-10,195.76,48042,Yes,No data loss confirmed
INC-0292,2024-06-24,Brute Force,Critical,Resolved,Endpoint,Marketing,West,Divya Nair,,60337.41,42522,Yes,User error confirmed
INC-0293,2024-03-08,Brute Force,Medium,Closed,Email Server,Legal,West,Karan Singh,2024-03-10,1126.76,40065,Yes,Patch applied
INC-0294,2024-09-04,Ransomware,Critical,Resolved,Web App,Finance,Central,Amit Verma,2024-09-08,66382.84,43898,No,User error confirmed
INC-0295,2024-08-09,Malware,Critical,In Progress,ERP,Finance,South,Arjun Rao,2024-08-17,52189.55,32495,Yes,User error confirmed
INC-0296,2024-09-08,DDoS,High,Closed,Endpoint,SecOps,South,Rohan Das,2024-09-19,8027.43,30087,No,
INC-0297,2024-02-15,Brute Force,High,Open,CRM,Operations,West,Priya Mehta,2024-03-01,18246.67,36512,Under Review,Escalated to CISO
INC-0298,2024-02-16,DDoS,High,Closed,Web App,IT,North,Amit Verma,2024-03-07,133571.58,29783,No,
INC-0299,2024-12-02,DDoS,Low,Open,Web App,IT,East,Karan Singh,2024-12-17,1064.63,46012,Yes,Escalated to CISO
INC-0300,2024-03-25,DDoS,Critical,In Progress,CRM,SecOps,West,Amit Verma,2024-04-21,16490.75,29952,Yes,No data loss confirmed
